雲林縣,斗六,40,,良好,2.7,0.25,5.7,29,6,9.6,2,13.78,4.16,2016-05-22 07:00
南投縣,南投,44,,良好,0.5,0.36,10,41,17,5.6,2,9.2,3.58,2016-05-22 07:00
彰化縣,二林,56,懸浮微粒,普通,1.6,0.21,6.9,29,11,6.7,4,9.14,2.44,2016-05-22 07:00
彰化縣,線西,46,,良好,2.8,0.3,9.1,27,15,11,3,13.75,2.96,2016-05-22 07:00
彰化縣,彰化,53,懸浮微粒,普通,0.9,0.22,18,24,9,4,3,5.16,1.14,2016-05-22 07:00
臺中市,西屯,50,,良好,1.6,0.25,9.3,29,14,11,4,14.37,3.36,2016-05-22 07:00
臺中市,忠明,51,懸浮微粒,普通,1.2,0.22,14,18,8,8.1,3,10.5,2.41,2016-05-22 07:00
臺中市,大里,58,懸浮微粒,普通,1.5,0.3,14,18,0,11,3,14.68,3.48,2016-05-22 07:00
臺中市,沙鹿,46,,良好,0.4,0.24,21,12,1,6.9,2,8.27,1.36,2016-05-22 07:00
臺中市,豐原,21,,良好,3.1,0.27,25,8,10,5.8,2,7.42,1.62,2016-05-22 07:00
苗栗縣,三義,25,,良好,1.2,0.15,30,10,4,2.3,1,3.31,.97,2016-05-22 07:00
苗栗縣,苗栗,41,,良好,1.2,0.31,7.6,39,15,7.1,2,8.94,1.9,2016-05-22 07:00
苗栗縣,頭份,41,,良好,0.5,0.32,7.6,30,15,8.2,2,12.75,4.53,2016-05-22 07:00
新竹市,新竹,44,,良好,1.3,0.46,4,38,15,12,3,21.2,9.56,2016-05-22 07:00
新竹縣,竹東,37,,良好,1.4,0.48,5.1,30,17,6,2,10.24,4.29,2016-05-22 07:00
新竹縣,湖口,49,,良好,4.6,0.68,7.4,53,41,21,3,28.44,7.79,2016-05-22 07:00
桃園市,龍潭,54,懸浮微粒,普通,2.3,0.53,3.2,39,26,12,3,22.14,10.22,2016-05-22 07:00
桃園市,平鎮,60,懸浮微粒,普通,9.9,0.63,8.4,62,39,21,4,24.55,3.94,2016-05-22 07:00
桃園市,觀音,46,,良好,4.9,0.73,5.2,47,39,28,3,33.41,5.74,2016-05-22 07:00
桃園市,大園,52,懸浮微粒,普通,4.8,0.89,5.4,73,39,33,3,52.04,18.89,2016-05-22 07:00
桃園市,桃園,49,,良好,17,0.79,5.7,48,36,20,4,27.56,7.42,2016-05-22 07:00
臺北市,大同,52,懸浮微粒,普通,3.9,1.38,,49,13,22,2,73.24,51.57,2016-05-22 07:00
臺北市,松山,44,,良好,2,0.51,9.2,26,21,13,3,16.67,3.42,2016-05-22 07:00
臺北市,古亭,37,,良好,1.7,0.6,4.9,34,18,13,2,27.79,15.25,2016-05-22 07:00
臺北市,萬華,44,,良好,1.1,0.52,5.8,30,14,15,2,20.82,6.23,2016-05-22 07:00
臺北市,中山,49,,良好,2.3,0.66,6.9,35,25,19,3,25.36,6.7,2016-05-22 07:00
臺北市,士林,34,,良好,3.4,0.57,9.1,30,21,16,,20.81,4.32,2016-05-22 07:00
新北市,淡水,41,,良好,3.2,0.84,3.3,47,30,18,3,29.21,11.67,2016-05-22 07:00
新北市,林口,62,懸浮微粒,普通,2.8,0.53,12,75,35,17,4,21.32,3.99,2016-05-22 07:00
新北市,菜寮,46,,良好,2.4,0.61,5.4,34,17,14,3,22.24,8.46,2016-05-22 07:00
新北市,新莊,50,,良好,2.9,0.66,3.8,45,29,18,3,30.43,12.91,2016-05-22 07:00
新北市,板橋,52,懸浮微粒,普通,1.6,0.54,4.6,41,23,13,3,23.27,10.02,2016-05-22 07:00
新北市,土城,42,,良好,2.1,0.65,3.5,35,17,13,3,28.88,15.59,2016-05-22 07:00
新北市,新店,36,,良好,1.5,0.38,8.8,29,12,7,2,10.71,3.72,2016-05-22 07:00
新北市,萬里,43,,良好,2.4,0.36,10,40,30,6.4,3,9.25,2.88,2016-05-22 07:00
新北市,汐止,49,,良好,4.7,0.7,1.5,46,25,19,3,37.06,17.89,2016-05-22 07:00
基隆市,基隆,35,,良好,1.3,0.61,4.5,34,22,13,2,19.92,6.45,2016-05-22 07:00
臺北市,陽明,16,,良好,1.8,0.19,29,17,11,1.4,1,1.82,.45,2016-05-22 06:00
